timestamp,age_group,current_stage,field,tech_interest,learning_source,biggest_barrier,education_gap,want_to_learn,learning_level,transferable_skills,desired_outcome,preferred_format,programme_length,learning_activities,engagement_drivers,boring_factors,launchpad_appeal,access_model,joining_hesitation,willingness_to_pay
22/06/2026 15:11:13,21-24,University student,Finance / FinTech,"Artificial intelligence / AI agents, Semiconductors / chips, Quantum technology, FinTech","ChatGPT / AI tools, Industry professionals or mentors, I usually do not know where to start",I do not know where to start,"Hands-on projects, Mentorship, Startup or research guidance","Career pathways in deep tech industries, Real case studies from startups and companies, How deep tech is used in the real world",Beginner: explain the basics clearly,"Problem-solving, Networking and follow-up, Public speaking",A startup or venture concept,Fully in-person,6-8 week programme,"Hands-on workshops, Networking with peers, Meeting industry practitioners, Team project work, Personalised learning roadmap","Learning from real industry practitioners, Working on real company challenges, Getting mentor feedback","Too much theory, No real-world projects, No industry access",5,"Low-cost for learners, partly funded by partners","The time commitment is too high, I am worried the content will be too difficult, I do not know if it will help my career",A moderate amount if there are strong outcomes
22/06/2026 15:12:18,18-20,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Cybersecurity","YouTube, Google search, ChatGPT / AI tools",I do not know what skills I need,Hands-on projects,"Hands-on prototyping, Startup idea development, How to use AI tools effectively",Project-focused: I want to build something practical,"Using AI tools, Understanding business models, Turning ideas into action",A startup or venture concept,Hybrid: online learning plus in-person sessions,6-8 week programme,"Demo day or final presentation, Hackathon-style challenge","Working on real company challenges, Building something practical, Getting mentor feedback","Too much theory, No real-world projects, No certificate, portfolio, or visible outcome",5,"Low-cost for learners, partly funded by partners","The programme is too expensive, The time commitment is too high, I do not know if it will help my career",A moderate amount if there are strong outcomes
22/06/2026 15:21:31,21-24,University student,Engineering / Robotics,"Artificial intelligence / AI agents, Robotics, Quantum technology","YouTube, ChatGPT / AI tools, Friends or peers",I do not know which pathway suits me,"Real industry exposure, Mentorship, Startup or research guidance","Career pathways in deep tech industries, Hands-on prototyping, Research opportunities",Career-focused: I want to understand pathways and opportunities,"Networking and follow-up, Public speaking, Turning ideas into action",A completed prototype,Hybrid: online learning plus in-person sessions,6-8 week programme,"Lab visits, Hands-on workshops, Meeting industry practitioners, Mentorship sessions, Hackathon-style challenge","Learning from real industry practitioners, Clear career or research pathways, Recognition, certificate, or portfolio evidence","Too many lectures, No clear career benefit, No certificate, portfolio, or visible outcome",4,"Low-cost for learners, partly funded by partners","The programme is too expensive, I do not have enough background knowledge in deep tech, I would only join if there are clear internship, job, research, or startup opportunities","A higher amount if there is clear internship, research, or startup access"
22/06/2026 15:23:17,21-24,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Semiconductors / chips, FinTech","YouTube, Google search, ChatGPT / AI tools",I lack access to mentors or industry professionals,"Real industry exposure, Networking opportunities, Access to companies or labs","Hands-on prototyping, Research opportunities, Startup idea development",Career-focused: I want to understand pathways and opportunities,"Networking and follow-up, Building prototypes, Understanding business models",A startup or venture concept,Mostly in-person with some online support,Ongoing community or membership,"Company visits, Lab visits, Hands-on workshops, Meeting industry practitioners, Mentorship sessions","Learning from real industry practitioners, Working on real company challenges, Building something practical","Too many lectures, Too much theory, Too expensive",5,Paid by companies looking for young talent,"The programme is too expensive, The time commitment is too high, I am worried the content will be too basic",A small amount if the programme is useful
22/06/2026 15:23:33,21-24,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Cybersecurity","YouTube, ChatGPT / AI tools",I do not know where to start,"Real industry exposure, Mentorship","Career pathways in deep tech industries, Startup idea development",Advanced: I want technical or specialised content,"Problem-solving, Working in teams, Building prototypes",A completed prototype,Fully in-person,6-8 week programme,"Mentorship sessions, Demo day or final presentation","Getting mentor feedback, Clear career or research pathways, Internship, job, or research opportunities","Too many lectures, Too expensive",3,I would only join if scholarship or sponsorship is available,I prefer fully online learning,A small amount if the programme is useful
22/06/2026 15:25:39,18-20,University student,Business / Entrepreneurship,"Artificial intelligence / AI agents, Climate tech, FinTech","YouTube, ChatGPT / AI tools, I usually do not know where to start",I do not know where to start,"Hands-on projects, Networking opportunities, Supportive peer community","Real case studies from startups and companies, How to build a portfolio, How to get internships or industry exposure",Intermediate: I know some basics and want to apply them,"Problem-solving, Understanding business models, Turning ideas into action",Internship or job opportunity,Hybrid: online learning plus in-person sessions,4-week programme,"Hands-on workshops, Mentorship sessions, Team project work, Personalised learning roadmap, Community chat or peer group","Working on real company challenges, Building something practical, Internship, job, or research opportunities","Too many lectures, Too expensive, Not beginner-friendly",5,Paid by universities or schools,"The programme is too expensive, The time commitment is too high, I do not know if it will help my career",A moderate amount if there are strong outcomes
22/06/2026 15:28:40,18-20,University student,Business / Entrepreneurship,"Artificial intelligence / AI agents, Robotics, Biotech / health tech, Climate tech, Cybersecurity, Advanced materials, FinTech","Google search, ChatGPT / AI tools, University or school resources",I do not know what skills I need,"Updated knowledge about new technologies, Startup or research guidance, Confidence to take action","Startup idea development, How to get internships or industry exposure, How to pitch and communicate ideas",Career-focused: I want to understand pathways and opportunities,"Working in teams, Understanding business models, Turning ideas into action",A completed prototype,Mostly in-person with some online support,6-8 week programme,"Company visits, Hands-on workshops, Meeting industry practitioners, Team project work, Online project feedback","Learning from real industry practitioners, Building something practical, Internship, job, or research opportunities","Too technical too quickly, Too expensive, Not beginner-friendly",5,"A mix of learners, companies, universities, and sponsors","I do not know if the certificate or outcome will be valuable, I do not have enough background knowledge in deep tech, I am not sure what I want to learn yet",A moderate amount if there are strong outcomes
22/06/2026 15:30:10,21-24,University student,Engineering / Robotics,"Artificial intelligence / AI agents, Robotics, Semiconductors / chips, Biotech / health tech, Climate tech, Quantum technology, Cybersecurity, Aerospace / space technology, Advanced materials","Google search, ChatGPT / AI tools, Teachers or lecturers",I lack hands-on project opportunities,"Updated knowledge about new technologies, Real industry exposure, Hands-on projects","Career pathways in deep tech industries, Hands-on prototyping, Research opportunities",Project-focused: I want to build something practical,"Networking and follow-up, Building prototypes, Turning ideas into action",A portfolio project,Mostly in-person with some online support,3-month programme,"Hands-on workshops, Networking with peers, Meeting industry practitioners, Team project work, Hackathon-style challenge","Learning from real industry practitioners, Working on real company challenges, Building something practical","No clear career benefit, No real-world projects, No industry access",5,I am not sure,The programme is too expensive,I am not sure
22/06/2026 15:30:37,21-24,University student,AI / Computer Science / Data,"Artificial intelligence / AI agents, Robotics, Cybersecurity","YouTube, ChatGPT / AI tools, Online courses",I lack hands-on project opportunities,"Real industry exposure, Networking opportunities, Access to companies or labs","Career pathways in deep tech industries, Real case studies from startups and companies, Hands-on prototyping",Advanced: I want technical or specialised content,"Problem-solving, Public speaking, Building prototypes",A portfolio project,Hybrid: online learning plus in-person sessions,4-week programme,"Hands-on workshops, Meeting industry practitioners, Team project work, Personalised learning roadmap, Online project feedback","Working on real company challenges, Building something practical, Recognition, certificate, or portfolio evidence","Too much theory, Too expensive, Too much time commitment",4,"Free for learners, funded by companies or sponsors","I am worried the content will be too basic, I do not know if it will help my career, I would only join if there are clear internship, job, research, or startup opportunities",A small amount if the programme is useful
22/06/2026 15:32:03,21-24,University student,Science / Research,"Artificial intelligence / AI agents, Robotics, Biotech / health tech, Climate tech, Aerospace / space technology","YouTube, Google search, ChatGPT / AI tools","I am interested, but not motivated enough yet","Real industry exposure, Hands-on projects, Startup or research guidance","Beginner-friendly introductions to frontier technologies, How deep tech is used in the real world, How to pitch and communicate ideas",Beginner: explain the basics clearly,"Networking and follow-up, Public speaking, Understanding business models",A career roadmap,Hybrid: online learning plus in-person sessions,Weekend programme,"Company visits, Lab visits, Hands-on workshops, Short videos explaining concepts, Recorded sessions I can watch later","Learning from real industry practitioners, Working on real company challenges, Recognition, certificate, or portfolio evidence","No clear career benefit, Too much time commitment, Not beginner-friendly",4,"Free for learners, funded by companies or sponsors","I am worried the content will be too difficult, I do not know if it will help my career, I do not have enough background knowledge in deep tech",I am not sure
