option,count,percent
AI / Computer Science / Data,50,46.7
Engineering / Robotics,10,9.3
Business / Entrepreneurship,10,9.3
Biotechnology / Health / Medicine,9,8.4
Finance / FinTech,7,6.5
Science / Research,4,3.7
Climate / Sustainability,2,1.9
Psychology,2,1.9
Design / Creative Technology,2,1.9
Sales,1,0.9
Economics,1,0.9
education,1,0.9
Engineering/Hydrology/Climate Extremes,1,0.9
accountancy,1,0.9
Mass communication,1,0.9
FnB business,1,0.9
Mass Communication,1,0.9
Merchant navy,1,0.9
Law,1,0.9
Accounting,1,0.9
